"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"73","307.14156159794845","295.3210686542754","0.0174560546875","0.021240234375","0.013671875","2400","0.00017387469069677784","32","0.00017387469069677784","0","0.00017387469069677784","0.00017387469069677784","72:0.006661939890304308;74:0.0064936111291987175;83:0.010418277330476872;63:0.0023425852104217437","72:68;74:108;83:68;63:68","0.0174560546875","Yes"
"74","103.54486148609017","177.13016600211566","0.0087890625","0.010986328125","0.006591796875","2400","0.00020653147732604122","32","0.00020653147732604122","0","0.00020653147732604122","0.00020653147732604122","73:0.0064936111291987175;75:0.0028690796829164422;84:0.002615510759613915;64:0.0015197072975487724","73:108;75:68;84:68;64:68","0.0087890625","Yes"
"75","222.89862252105152","183.61616781292824","0.0196533203125","0.021728515625","0.017578125","2400","0.00025025369923984775","32","0.00025025369923984775","0","0.00025025369923984775","0.00025025369923984775","74:0.0028690796829164422;76:0.0062389107581445336;85:0.003257953822714016;65:0.003073635889548232","74:68;76:68;85:68;65:68","0.0196533203125","Yes"
"76","313.22808698422267","184.39591816628297","0.014404296875","0.015869140625","0.012939453125","2400","0.00014484709617499668","32","0.00014484709617499668","0","0.00014484709617499668","0.00014484709617499668","75:0.0062389107581445336;77:0.0013256364367449092;66:0.001776413270028393;86:0.001611710128682886","75:68;77:68;66:88;86:88","0.014404296875","Yes"
"77","431.0505096459272","238.31915036320436","0.016845703125","0.015380859375","0.018310546875","2400","0.0001691468084091848","32","0.0001691468084091848","0","0.0001691468084091848","0.0001691468084091848","67:0.0023639283153612245;78:0.012591616440419978;87:0.004690158150978563;76:0.0013256364367449092","67:68;78:68;87:68;76:68","0.016845703125","Yes"
"78","410.5038608793539","270.1157581554154","0.0147705078125","0.01708984375","0.012451171875","2400","0.0001800069142840784","32","0.0001800069142840784","0","0.0001800069142840784","0.0001800069142840784","77:0.012591616440419978;88:0.0010483206059333228;68:0.001406695394364027","77:68;79:68;88:68;68:68","0.0147705078125","Yes"
"79","306.5733712884723","177.5658579896603","0.0274658203125","0.029296875","0.025634765625","2400","0.00022831955913210094","32","0.00022831955913210094","0","0.00022831955913210094","0.00022831955913210094","89:0.0021774680432860016","78:68;89:168;69:68","0.0274658203125","Yes"
"80","446.95520873137804","328.3646350379195","0.016357421875","0.02197265625","0.0107421875","2400","0.00011771750326310733","32","0.00011771750326310733","0","0.00011771750326310733","0.00011771750326310733","81:0.0019852180748467785;90:0.0020478930030864984;70:0.0010513585507748446","81:68;90:68;70:68","0.016357421875","Yes"
"81","293.5450643494154","344.3296972818074","0.01513671875","0.01806640625","0.01220703125","2400","0.0002447689163449733","32","0.0002447689163449733","0","0.0002447689163449733","0.0002447689163449733","80:0.0019852180748467785;82:0.001992929657955528;71:0.008421266145971107;91:0.010744239942087258","80:68;82:84;71:68;91:88","0.01513671875","Yes"
"82","243.0673401589403","264.90991424963823","0.0382080078125","0.051513671875","0.02490234375","2400","0.00013961279878173954","32","0.00013961279878173954","0","0.00013961279878173954","0.00013961279878173954","72:0.0019923366277389276;81:0.001992929657955528;83:0.014300321931204618;92:0.001766848047891123","72:88;81:84;83:108;92:68","0.0382080078125","Yes"
"83","53.48335162831714","68.13159624640271","0.0269775390625","0.031005859375","0.02294921875","2400","0.0019619353774685245","32","0.0019619353774685245","0","0.0019619353774685245","0.0019619353774685245","73:0.010418277330476872;82:0.014300321931204618;84:0.015343574590229225;93:0.01467236796450408","73:68;82:108;84:68;93:68","0.0269775390625","Yes"
"84","409.33982573134705","196.26504658809452","0.0386962890625","0.051025390625","0.0263671875","2400","0.0004100665714662574","32","0.0004100665714662574","0","0.0004100665714662574","0.0004100665714662574","74:0.002615510759613915;83:0.015343574590229225;85:0.0017069575796526404;94:0.0066360593589062655","74:68;83:68;85:108;94:68","0.0386962890625","Yes"
"85","238.6170100600515","229.2930173868829","0.0177001953125","0.0185546875","0.016845703125","2400","0.00015546602476586565","32","0.00015546602476586565","0","0.00015546602476586565","0.00015546602476586565","86:0.0041320143207161375;75:0.003257953822714016;95:0.0038401831196433756;84:0.0017069575796526404","86:108;75:68;95:68;84:108","0.0177001953125","Yes"
"86","410.37869209532926","222.0140510630164","0.048095703125","0.052734375","0.04345703125","2400","0.00021110961960826665","32","0.00021110961960826665","0","0.00021110961960826665","0.00021110961960826665","85:0.0041320143207161375;87:0.0012427076663515113;96:0.0026882914215096976;76:0.001611710128682886","85:108;87:68;96:68;76:88","0.048095703125","Yes"
"87","392.69053214761726","273.89820352867866","0.0645751953125","0.06787109375","0.061279296875","2400","0.00010303124099083274","32","0.00010303124099083274","0","0.00010303124099083274","0.00010303124099083274","77:0.004690158150978563;86:0.0012427076663515113;88:0.0025772277316162273;97:0.0013737458986056994","77:68;86:68;88:68;97:68","0.0645751953125","Yes"
"88","472.4507253616757","186.6876551714664","0.045654296875","0.08154296875","0.0419921875","2400","0.00021892513194343057","32","0.00021892513194343057","0","0.00021892513194343057","0.00021892513194343057","78:0.0010483206059333228;87:0.0025772277316162273;89:0.0009408429887918512;98:0.0016900879959074744","78:68;87:68;89:68;98:68","0.045654296875","Yes"
"89","356.48213292874385","375.2361200454843","0.023681640625","0.027099609375","0.020263671875","2400","0.00012261360511999116","32","0.00012261360511999116","0","0.00012261360511999116","0.00012261360511999116","79:0.0021774680432860016;99:0.0013628474168632942;88:0.0009408429887918512","79:168;99:68;88:68","0.023681640625","Yes"
"90","261.32411901473455","342.6632280728596","0.0118408203125","0.01708984375","0.006591796875","2400","0.00022035768605882994","32","0.00022035768605882994","0","0.00022035768605882994","0.00022035768605882994","80:0.0020478930030864984;91:0.002030420615154682;100:0.0012202540867684575","80:68;91:68;100:68","0.0118408203125","Yes"
"91","378.94334211620077","266.17112413304505","0.0712890625","0.11865234375","0.02392578125","2400","0.00021298880431652712","32","0.00021298880431652712","0","0.00021298880431652712","0.00021298880431652712","81:0.010744239942087258;90:0.002030420615154682;92:0.0016754846102504939;101:0.0014293628411099768","81:88;90:68;92:68;101:68","0.0712890625","Yes"
