"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"63","439.4268971463947","331.77057445839154","0.02490234375","0.029052734375","0.020751953125","2400","0.0003101960319821986","32","0.0003101960319821986","0","0.0003101960319821986","0.0003101960319821986","53:0.0025323625568995367;62:0.0013446417355077456;64:0.0014278551030079412;73:0.0041983533887838265","53:228;62:128;64:188;73:148","0.02490234375","Yes"
"64","318.4064466860476","207.22905412925314","0.0093994140625","0.01416015625","0.004638671875","2400","0.00013953370337967688","32","0.00013953370337967688","0","0.00013953370337967688","0.00013953370337967688","65:0.0020895219637894202;54:0.002533803342495866;63:0.0014278551030079412;74:0.0021426456328057786","65:128;54:208;63:188;74:208","0.0093994140625","Yes"
"65","381.98696705334294","218.47101099729923","0.0230712890625","0.024658203125","0.021484375","2400","0.0002805469544352541","32","0.0002805469544352541","0","0.0002805469544352541","0.0002805469544352541","55:0.0028425245311700653;64:0.0020895219637894202;66:0.004146663890264163;75:0.0030393872036099667","55:148;64:128;66:128;75:208","0.0230712890625","Yes"
"66","493.21443046474997","59.504508692509184","0.031982421875","0.04150390625","0.0224609375","2400","0.0006630580275240756","32","0.0006630580275240756","0","0.0006630580275240756","0.0006630580275240756","56:0.0026959635115771097;65:0.004146663890264163;76:0.0035727778512642527","56:128;65:128;67:68;76:228","0.031982421875","Yes"
"67","333.57163854554693","316.12588616535635","0.05419921875","0.07177734375","0.03662109375","2400","0.0007183514468669902","32","0.0007183514468669902","0","0.0007183514468669902","0.0007183514468669902","68:0.0032066376150209353;77:0.029866086241938622;57:0.004559884840419276","68:188;77:208;57:308;66:68","0.05419921875","Yes"
"68","333.33340082357887","236.23088790900738","0.024169921875","0.03466796875","0.013671875","2400","0.0002069556576660394","32","0.0002069556576660394","0","0.0002069556576660394","0.0002069556576660394","67:0.0032066376150209353;58:0.003068087981103751;69:0.003698430322185864","67:188;58:248;69:168;78:228","0.024169921875","Yes"
"69","301.0109644726175","316.5773437632002","0.0177001953125","0.02294921875","0.012451171875","2400","0.00016377472712192367","32","0.00016377472712192367","0","0.00016377472712192367","0.00016377472712192367","68:0.003698430322185864;59:0.0016416831706215496;79:0.002142905458173666","68:168;59:128;79:188","0.0177001953125","Yes"
"70","266.506454067591","282.5720482548416","0.01025390625","0.01025390625","0.01025390625","2400","0.00025318040690306293","32","0.00025318040690306293","0","0.00025318040690306293","0.00025318040690306293","60:0.0031375865857528884;71:0.0033413387888397705;80:0.0031146447495681018","60:128;71:68;80:208","0.01025390625","Yes"
"71","312.58467671966173","180.18716926346798","0.0218505859375","0.017578125","0.012939453125","2400","0.00017479265227151474","32","0.00017479265227151474","0","0.00017479265227151474","0.00017479265227151474","72:0.0019132624908084483;81:0.0037339273552666197;61:0.04008603204525199;70:0.0033413387888397705","72:128;81:208;61:188;70:68","0.0218505859375","Yes"
"72","351.6667094764664","247.82168742165857","0.03955078125","0.043701171875","0.035400390625","2400","0.00017735240128758566","32","0.00017735240128758566","0","0.00017735240128758566","0.00017735240128758566","73:0.0018042858638612769;62:0.0019607491761844398;82:0.0023369140669733113;71:0.0019132624908084483","73:128;62:128;82:188;71:128","0.03955078125","Yes"
"73","563.0308358329175","219.4301422812717","0.017333984375","0.02001953125","0.0146484375","2400","0.00019295517853076938","32","0.00019295517853076938","0","0.00019295517853076938","0.00019295517853076938","72:0.0018042858638612769;74:0.002954556346992626;63:0.0041983533887838265","72:128;74:288;83:168;63:148","0.017333984375","Yes"
"74","302.91031618059156","242.12827764353898","0.00830078125","0.010009765625","0.006591796875","2400","0.00024097130451490508","32","0.00024097130451490508","0","0.00024097130451490508","0.00024097130451490508","73:0.002954556346992626;75:0.007990145204674337;64:0.0021426456328057786","73:288;75:128;84:168;64:208","0.00830078125","Yes"
"75","325.51559658533563","192.6503942823994","0.0096435546875","0.012451171875","0.0068359375","2400","0.00042592536614398233","32","0.00042592536614398233","0","0.00042592536614398233","0.00042592536614398233","74:0.007990145204674337;76:0.0036796654167002285;85:0.006987732104896116;65:0.0030393872036099667","74:128;76:148;85:128;65:208","0.0096435546875","Yes"
"76","387.99747095360334","251.1597479634732","0.012939453125","0.01220703125","0.013671875","2400","0.00034196392431047514","32","0.00034196392431047514","0","0.00034196392431047514","0.00034196392431047514","75:0.0036796654167002285;77:0.02503329410253885;66:0.0035727778512642527;86:0.002823760452193541","75:148;77:148;66:228;86:168","0.012939453125","Yes"
"77","332.93929516109375","237.52105805814304","0.0159912109375","0.019287109375","0.0126953125","2400","0.0006686522359006778","32","0.0006686522359006778","0","0.0006686522359006778","0.0006686522359006778","67:0.029866086241938622;78:0.03269900627639266;76:0.02503329410253885","67:208;78:208;87:248;76:148","0.0159912109375","Yes"
"78","74.63165792099508","97.75925328542807","0.011962890625","0.01513671875","0.0087890625","2400","0.0003591680876981504","32","0.0003591680876981504","0","0.0003591680876981504","0.0003591680876981504","77:0.03269900627639266;79:0.0025723673951749126;88:0.008827876940091267","77:208;79:288;88:268;68:228","0.011962890625","Yes"
